episode,reward,length,timestep
1,2304.76114487648,1000,1000
2,2276.5552020072937,1000,2000
3,2284.356207847595,1000,3000
4,2306.725866317749,1000,4000
5,2302.352520942688,1000,5000
6,2289.57989692688,1000,6000
7,2290.3447785377502,1000,7000
8,2312.4930086135864,1000,8000
9,2289.1582428216934,1000,9000
10,2315.7146582603455,1000,10000
11,2300.1674275398254,1000,11000
12,2310.4732823371887,1000,12000
13,2301.961499452591,1000,13000
14,2323.0179994106293,1000,14000
15,148.41329908370972,63,14063
16,2297.861430168152,1000,15063
17,2302.1379437446594,1000,16063
18,2295.4563117027283,1000,17063
19,2316.7300560474396,1000,18063
20,2317.3327503204346,1000,19063
21,2317.511681318283,1000,20063
22,2334.0019466876984,1000,21063
23,2325.041134119034,1000,22063
24,2323.9755012989044,1000,23063
25,2320.1548311710358,1000,24063
26,2336.9938292503357,1000,25063
27,2321.1862959861755,1000,26063
28,2320.1433079242706,1000,27063
29,2320.517853975296,1000,28063
30,2342.5950407981873,1000,29063
31,2313.6420357227325,1000,30063
32,1207.387743115425,521,30584
33,2339.1351766586304,1000,31584
34,2321.912773132324,1000,32584
35,2348.6922602653503,1000,33584
36,2341.464135169983,1000,34584
37,2356.6103127002716,1000,35584
38,2350.3841054439545,1000,36584
39,2375.7879090309143,1000,37584
40,2337.731913805008,1000,38584
41,2336.023519039154,1000,39584
42,2320.867029905319,1000,40584
43,2369.685037612915,1000,41584
44,2370.0869262218475,1000,42584
45,2367.4640345573425,1000,43584
46,412.43467140197754,178,43762
47,2352.700197458267,1000,44762
48,2368.3083963394165,1000,45762
49,2374.67249751091,1000,46762
50,2351.1847565174103,1000,47762
51,2372.126905441284,1000,48762
52,2374.8363370895386,1000,49762
53,2360.874047279358,1000,50762
54,2375.9757750034332,1000,51762
55,2375.3898978233337,1000,52762
56,2365.7698566913605,1000,53762
57,2389.124538898468,1000,54762
58,2380.9139018058777,1000,55762
59,2385.3900697231293,1000,56762
60,2368.5817704200745,1000,57762
61,2364.020370721817,1000,58762
62,2369.6049015522003,1000,59762
63,1784.1367373466492,750,60512
64,2378.2871153354645,1000,61512
65,2375.523225069046,1000,62512
66,2383.2884821891785,1000,63512
67,2385.564283847809,1000,64512
68,2385.252794265747,1000,65512
69,2393.9514343738556,1000,66512
70,2366.2791843414307,1000,67512
71,2396.0893816947937,1000,68512
72,2390.9134850502014,1000,69512
73,2401.2046160697937,1000,70512
74,2405.9904029369354,1000,71512
75,2397.3043456077576,1000,72512
76,2386.770215034485,1000,73512
77,2394.027292728424,1000,74512
78,2394.6161608695984,1000,75512
79,2211.896220445633,927,76439
80,2412.7400138378143,1000,77439
81,2397.743505001068,1000,78439
82,2385.4880652427673,1000,79439
83,2381.13356757164,1000,80439
84,2409.4363975524902,1000,81439
85,2393.614088535309,1000,82439
86,2373.250167608261,1000,83439
87,2399.4495429992676,1000,84439
88,2371.0528366565704,1000,85439
89,2411.5225892066956,1000,86439
90,2405.254700899124,1000,87439
91,1587.192512512207,666,88105
92,2412.1504180431366,1000,89105
93,2415.6258792877197,1000,90105
94,2384.637940645218,1000,91105
95,2422.5538461208344,1000,92105
96,2394.125581741333,1000,93105
97,2411.44322180748,1000,94105
98,2417.9737737178802,1000,95105
99,2420.217487335205,1000,96105
100,2413.5249860286713,1000,97105
101,2394.160012483597,1000,98105
102,2411.290916442871,1000,99105
103,1569.7618374824524,656,99761
104,2422.8237130641937,1000,100761
105,2382.6370985507965,1000,101761
106,2405.9059870243073,1000,102761
107,1446.8804354667664,606,103367
108,2410.8454484939575,1000,104367
109,2414.0551524162292,1000,105367
110,2416.631142139435,1000,106367
111,2421.159240245819,1000,107367
112,2408.0952894687653,1000,108367
113,2402.2936198711395,1000,109367
114,2389.9109835624695,1000,110367
115,2413.772766828537,1000,111367
116,2411.4599747657776,1000,112367
117,2416.4694333076477,1000,113367
118,2408.1657927036285,1000,114367
119,2403.378207921982,1000,115367
120,2387.9426023960114,1000,116367
121,2413.0447924137115,1000,117367
122,2407.1431045532227,1000,118367
123,2411.6054944992065,1000,119367
124,2410.9037716388702,1000,120367
125,2420.323962688446,1000,121367
126,2414.162411928177,1000,122367
127,2406.5592725276947,1000,123367
128,2432.7100508213043,1000,124367
129,2428.2820539474487,1000,125367
130,2412.0429990291595,1000,126367
131,2428.2305092811584,1000,127367
132,2412.104903936386,1000,128367
133,2411.970538377762,1000,129367
134,2419.60932636261,1000,130367
135,2401.614298582077,1000,131367
136,2411.0185821056366,1000,132367
137,2416.8265838623047,1000,133367
138,2416.60169005394,1000,134367
139,2400.741302013397,1000,135367
140,2410.730795621872,1000,136367
141,2407.9286673069,1000,137367
142,2412.1750087738037,1000,138367
143,2409.2306253910065,1000,139367
144,2410.059066772461,1000,140367
145,2393.871160507202,1000,141367
146,2415.997360944748,1000,142367
147,2432.3507244586945,1000,143367
148,2405.950650215149,1000,144367
149,2422.988790512085,1000,145367
150,2417.816138267517,1000,146367
151,2415.8712949752808,1000,147367
152,2418.42151427269,1000,148367
153,2413.188685655594,1000,149367
154,1165.894633769989,485,149852
155,2428.387196302414,1000,150852
156,2416.4209032058716,1000,151852
157,2414.2088027000427,1000,152852
158,2397.921750307083,1000,153852
159,2441.5497987270355,1000,154852
160,2418.2259941101074,1000,155852
161,2408.2392151355743,1000,156852
162,2429.022917032242,1000,157852
163,2423.2502796649933,1000,158852
164,2412.5816385746,1000,159852
165,2427.5566873550415,1000,160852
166,2423.2394831180573,1000,161852
167,2424.5672929286957,1000,162852
168,2408.753499984741,1000,163852
169,2421.909751176834,1000,164852
170,2432.5872213840485,1000,165852
171,2428.215116739273,1000,166852
172,2440.0907163619995,1000,167852
173,2436.5957903862,1000,168852
174,2429.013800382614,1000,169852
175,2420.3856916427612,1000,170852
176,2403.281417608261,1000,171852
177,2426.1389842033386,1000,172852
178,2438.039248943329,1000,173852
179,2430.1229722499847,1000,174852
180,2429.1120796203613,1000,175852
181,2415.93821310997,1000,176852
182,2431.5120577812195,1000,177852
183,2418.0278737545013,1000,178852
184,2447.0697872638702,1000,179852
185,2426.2485885620117,1000,180852
186,2442.515815258026,1000,181852
187,2440.8327708244324,1000,182852
188,2426.608117580414,1000,183852
189,2428.8851335048676,1000,184852
190,2425.8045308589935,1000,185852
191,2435.5750613212585,1000,186852
192,2437.3562335968018,1000,187852
193,2432.8716604709625,1000,188852
194,2438.0439343452454,1000,189852
195,2439.469764471054,1000,190852
196,2432.461019515991,1000,191852
197,2438.4804775714874,1000,192852
198,2430.6686460971832,1000,193852
199,2451.012886285782,1000,194852
200,2428.331780195236,1000,195852
201,2430.6039979457855,1000,196852
202,2441.9587059020996,1000,197852
203,2438.9209179878235,1000,198852
204,2434.8319058418274,1000,199852
205,2448.053309440613,1000,200852
206,2438.2186954021454,1000,201852
207,2441.256014585495,1000,202852
208,2442.167033433914,1000,203852
209,2438.0996339321136,1000,204852
210,2445.516519546509,1000,205852
211,2431.1437561511993,1000,206852
212,2408.1235098838806,1000,207852
213,2447.3755021095276,1000,208852
214,2450.575541973114,1000,209852
215,2441.3939938545227,1000,210852
216,2432.609226465225,1000,211852
217,2444.9047017097473,1000,212852
218,2443.4264421463013,1000,213852
219,2455.469383239746,1000,214852
220,2439.9091370105743,1000,215852
221,2451.928511619568,1000,216852
222,2461.4264941215515,1000,217852
223,2451.611938238144,1000,218852
224,2443.1513600349426,1000,219852
225,2430.8293936252594,1000,220852
226,2458.169769048691,1000,221852
227,2458.558164358139,1000,222852
228,2448.341730117798,1000,223852
229,2454.7224910259247,1000,224852
230,2462.921343564987,1000,225852
231,2339.610225081444,1000,226852
232,2454.115740299225,1000,227852
233,2453.99813580513,1000,228852
234,2456.507330417633,1000,229852
235,2322.5902695655823,1000,230852
236,2455.1278541088104,1000,231852
237,2402.24511051178,1000,232852
238,2448.4281344413757,1000,233852
239,2459.6481935977936,1000,234852
240,2449.6926634311676,1000,235852
241,2446.068650007248,1000,236852
242,2411.738834619522,1000,237852
243,2450.264377117157,1000,238852
244,2415.7945206165314,1000,239852
245,2459.0343811511993,1000,240852
246,2453.4776022434235,1000,241852
247,2456.7385222911835,1000,242852
248,2440.7095584869385,1000,243852
249,2445.0598673820496,1000,244852
250,2439.2891795635223,1000,245852
251,2455.7553770542145,1000,246852
252,2397.150602698326,1000,247852
253,2468.013163089752,1000,248852
254,2444.6735095977783,1000,249852
255,2443.3334562778473,1000,250852
256,2405.770658016205,1000,251852
257,2408.8418514728546,1000,252852
258,2451.5885241031647,1000,253852
259,2451.0540511608124,1000,254852
260,2443.32137131691,1000,255852
261,2435.630739212036,1000,256852
262,2451.283856153488,1000,257852
263,2451.060644388199,1000,258852
264,2453.3159606456757,1000,259852
265,2444.1792907714844,1000,260852
266,2418.412732720375,1000,261852
267,2456.077158689499,1000,262852
268,2453.8968420028687,1000,263852
269,2282.593497276306,1000,264852
270,2387.5225965976715,1000,265852
271,2401.5893992185593,1000,266852
272,2427.366459608078,1000,267852
273,2462.553507089615,1000,268852
274,2428.8736107349396,1000,269852
275,2435.3545253276825,1000,270852
276,1242.1115999221802,554,271406
277,2451.671775698662,1000,272406
278,2298.6733199357986,1000,273406
279,2439.130052089691,1000,274406
280,2378.043464779854,1000,275406
281,2449.437332034111,1000,276406
282,2410.063651204109,1000,277406
283,2401.233635187149,1000,278406
284,2450.375683069229,1000,279406
285,2433.1697281599045,1000,280406
286,2369.850614309311,1000,281406
287,2433.507937669754,1000,282406
288,2320.6932657957077,1000,283406
289,2455.6014382839203,1000,284406
290,2454.8733382225037,1000,285406
291,2454.9679820537567,1000,286406
292,2429.5462992191315,1000,287406
293,2444.50823032856,1000,288406
294,2406.0445272922516,1000,289406
295,2451.8031389713287,1000,290406
296,2430.717041015625,1000,291406
297,2464.8005378246307,1000,292406
298,2407.1711316108704,1000,293406
299,2453.092608690262,1000,294406
300,2415.824907541275,1000,295406
301,2467.346704721451,1000,296406
302,2462.218149662018,1000,297406
303,2435.836558818817,1000,298406
304,2401.469393014908,1000,299406
305,2411.5999660491943,1000,300406
306,2460.855719804764,1000,301406
307,2459.158289194107,1000,302406
308,2467.6567108631134,1000,303406
309,2444.68812251091,1000,304406
310,2450.91010761261,1000,305406
311,2450.315210580826,1000,306406
312,2457.97172999382,1000,307406
313,2461.5223054885864,1000,308406
314,2468.2762639522552,1000,309406
315,2453.365178346634,1000,310406
316,2445.903966188431,1000,311406
317,2472.9333188533783,1000,312406
318,2411.4100182056427,1000,313406
319,2425.5669835805893,1000,314406
320,2439.555928826332,1000,315406
321,2461.599624156952,1000,316406
322,2467.3272898197174,1000,317406
323,2462.0204842090607,1000,318406
324,2438.2967735528946,1000,319406
325,2450.1214139461517,1000,320406
326,2468.2220752239227,1000,321406
327,2318.4686241149902,1000,322406
328,2462.6179032325745,1000,323406
329,2463.2284145355225,1000,324406
330,2457.204446077347,1000,325406
331,2453.6657495498657,1000,326406
332,2455.6755340099335,1000,327406
333,2441.938833475113,1000,328406
334,2401.4390280246735,1000,329406
335,2450.4947531223297,1000,330406
336,2450.5178303718567,1000,331406
337,2468.2807829380035,1000,332406
338,2454.5189809799194,1000,333406
339,2451.658401489258,1000,334406
340,2434.694692492485,1000,335406
341,2443.2867900133133,1000,336406
342,2443.778919696808,1000,337406
343,2468.297504425049,1000,338406
344,1621.7330538630486,714,339120
345,2462.535654902458,1000,340120
346,2439.6339712142944,1000,341120
347,2420.0570979118347,1000,342120
348,2466.8958718776703,1000,343120
349,2458.4960222244263,1000,344120
350,2332.4334230422974,1000,345120
351,1247.4029201865196,585,345705
352,2421.1605755090714,1000,346705
353,2227.413997888565,1000,347705
354,2450.185762166977,1000,348705
355,1112.608806014061,520,349225
356,2423.159185528755,1000,350225
357,2439.3401374816895,1000,351225
358,2447.645912885666,1000,352225
359,2297.2509182691574,1000,353225
360,2440.82796561718,1000,354225
361,2438.5319098234177,1000,355225
362,2430.0046243667603,1000,356225
363,2451.5662784576416,1000,357225
364,2212.76150816679,1000,358225
365,2305.6700543165207,1000,359225
366,2469.7942986488342,1000,360225
367,2387.7808796167374,1000,361225
368,2447.663555264473,1000,362225
369,2324.4105414152145,1000,363225
370,2458.356694459915,1000,364225
371,2464.548346042633,1000,365225
372,2407.4564279317856,1000,366225
373,2447.9761077165604,1000,367225
374,2407.1710551977158,1000,368225
375,2332.6480878591537,1000,369225
376,2414.9580261707306,1000,370225
377,2477.0828177928925,1000,371225
378,2386.470237135887,1000,372225
379,2398.2497605085373,1000,373225
380,2334.110797047615,1000,374225
381,2464.2079339027405,1000,375225
382,2469.1667840480804,1000,376225
383,2467.4299993515015,1000,377225
384,2419.700991988182,1000,378225
385,2391.875874519348,1000,379225
386,2364.038147211075,1000,380225
387,2443.6162754297256,1000,381225
388,2385.962266564369,1000,382225
389,2431.8050743341446,1000,383225
390,1357.5006630420685,605,383830
391,2311.8743331432343,1000,384830
392,2235.6149623394012,1000,385830
393,2427.5631798505783,1000,386830
394,2425.7355217933655,1000,387830
395,2386.2609757184982,1000,388830
396,2458.2228692770004,1000,389830
397,839.5033624172211,377,390207
398,2434.717988729477,1000,391207
399,2440.6443024873734,1000,392207
400,2446.498498558998,1000,393207
401,998.0739325284958,436,393643
402,2354.9167944192886,1000,394643
403,2315.2984347343445,1000,395643
404,1274.3778002262115,567,396210
405,2304.647534132004,1000,397210
406,2207.721162855625,1000,398210
407,2441.6554939746857,1000,399210
408,2369.835358142853,1000,400210
409,1359.478587269783,607,400817
